_id,BatchFileName,Indiv_Index,ConductedEnergyWeapon_CartridgeProbe_CartridgeProbeCycles_Cyc
486,321271556,1,Single Cycle (5 seconds)
487,481249476,1,Single Cycle (5 seconds)
488,481363597,1,Single Cycle (5 seconds)
489,120241561,1,Single Cycle (5 seconds)
490,688773702,1,Single Cycle (5 seconds)
491,688773702,1,Extended Cycle (more than 5 seconds)
492,595249875,1,Single Cycle (5 seconds)
493,603143257,1,Multiple Cycles
494,847713042,1,Single Cycle (5 seconds)
495,591125760,1,Single Cycle (5 seconds)
496,192171308,1,Single Cycle (5 seconds)
497,685639540,2,Single Cycle (5 seconds)
498,650534366,1,Single Cycle (5 seconds)
499,496651667,1,Single Cycle (5 seconds)
500,496651667,1,Extended Cycle (more than 5 seconds)
501,583841740,1,Single Cycle (5 seconds)
502,583841740,1,Extended Cycle (more than 5 seconds)
503,294653051,1,Single Cycle (5 seconds)
504,747487240,1,Single Cycle (5 seconds)
505,680509363,1,Single Cycle (5 seconds)
506,516002875,1,Single Cycle (5 seconds)
507,697623081,1,Multiple Cycles
508,550955015,1,Extended Cycle (more than 5 seconds)
509,900392485,1,Single Cycle (5 seconds)
510,595095016,1,Single Cycle (5 seconds)
511,646373758,1,Extended Cycle (more than 5 seconds)
512,718771360,1,Multiple Cycles
513,718771360,2,Single Cycle (5 seconds)
514,245294402,1,Single Cycle (5 seconds)
515,249391423,1,Multiple Cycles
516,162600383,1,Single Cycle (5 seconds)
517,928342642,1,Single Cycle (5 seconds)
518,184857070,1,Single Cycle (5 seconds)
519,592530027,1,Multiple Cycles
520,100159565,1,Single Cycle (5 seconds)
521,563427960,1,Single Cycle (5 seconds)
522,776648961,1,Single Cycle (5 seconds)
523,602476796,1,Single Cycle (5 seconds)
524,964401087,1,Single Cycle (5 seconds)
525,213741657,1,Multiple Cycles
526,130465006,1,Single Cycle (5 seconds)
527,654232344,1,Multiple Cycles
528,575423636,1,Single Cycle (5 seconds)
529,821897173,1,Single Cycle (5 seconds)
530,446659644,1,Multiple Cycles
531,400000804,1,Multiple Cycles
532,110788232,1,Extended Cycle (more than 5 seconds)
533,518811448,1,Single Cycle (5 seconds)
534,496390116,1,Extended Cycle (more than 5 seconds)
535,442281279,1,Single Cycle (5 seconds)
536,933002634,1,Single Cycle (5 seconds)
